observation_id,git_revision,benchmark_config_sha256,workload_sha256,library,library_version,renderer,workload_size,repeat_index,execution_order_index,render_ms,update_ms,browser_name,browser_version,viewport_width,viewport_height,device_pixel_ratio,status,failure_code
OBS-VIS-00078,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,6d5d7b2997eb34afc962ba44cc1602225cac40392f1963c7e8c6b6af580a4f00,ECharts,5.6.0,canvas,100,8,78,32.8,33.6,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00079,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,8b2911770f4e9d06cf8306aa8390b6e9e89c86ad6131e1ee69f0c151f1c1db68,ECharts,5.6.0,canvas,10000,6,79,173.7,191.5,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00080,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,8b2911770f4e9d06cf8306aa8390b6e9e89c86ad6131e1ee69f0c151f1c1db68,D3,7.9.0,svg,10000,10,80,145,125.5,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00081,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,6d5d7b2997eb34afc962ba44cc1602225cac40392f1963c7e8c6b6af580a4f00,Chart.js,4.4.8,canvas,100,2,81,34.1,15.2,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00082,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,6d5d7b2997eb34afc962ba44cc1602225cac40392f1963c7e8c6b6af580a4f00,Chart.js,4.4.8,canvas,100,6,82,32.7,16.7,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00083,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,a02acfc720e8c40934a036e9e7b7bd67e2507ecece75ef552bec97d374eeef6a,D3,7.9.0,svg,1000,8,83,16.3,17,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00084,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,6d5d7b2997eb34afc962ba44cc1602225cac40392f1963c7e8c6b6af580a4f00,D3,7.9.0,svg,100,10,84,16.9,17.1,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00085,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,8b2911770f4e9d06cf8306aa8390b6e9e89c86ad6131e1ee69f0c151f1c1db68,ECharts,5.6.0,canvas,10000,3,85,183.2,188,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00086,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,a02acfc720e8c40934a036e9e7b7bd67e2507ecece75ef552bec97d374eeef6a,D3,7.9.0,svg,1000,9,86,19.5,18.6,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00087,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,6d5d7b2997eb34afc962ba44cc1602225cac40392f1963c7e8c6b6af580a4f00,Chart.js,4.4.8,canvas,100,8,87,33.3,16.2,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00088,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,8b2911770f4e9d06cf8306aa8390b6e9e89c86ad6131e1ee69f0c151f1c1db68,D3,7.9.0,svg,10000,4,88,109.7,107.6,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00089,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,6d5d7b2997eb34afc962ba44cc1602225cac40392f1963c7e8c6b6af580a4f00,D3,7.9.0,svg,100,8,89,16.8,17.7,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00090,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,8b2911770f4e9d06cf8306aa8390b6e9e89c86ad6131e1ee69f0c151f1c1db68,Chart.js,4.4.8,canvas,10000,5,90,95.1,54.8,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00091,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,6d5d7b2997eb34afc962ba44cc1602225cac40392f1963c7e8c6b6af580a4f00,ECharts,5.6.0,canvas,100,6,91,16.6,32.1,Edge,151.0.0.0,1440,900,1,COMPLETED,
