observation_id,git_revision,min_support,repeat_index,k,source,generated,pruned,evaluated,frequent,pruning_ratio
OBS-00013,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,1,5,join_prune,49,12,37,37,0.244898
OBS-00013,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,1,6,join_prune,6,0,6,6,0.000000
OBS-00014,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,10,1,singleton_scan,119,0,119,21,0.000000
OBS-00014,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,10,2,join_prune,210,0,210,97,0.000000
OBS-00014,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,10,3,join_prune,321,106,215,185,0.330218
OBS-00014,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,10,4,join_prune,305,119,186,170,0.390164
OBS-00014,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,10,5,join_prune,130,52,78,76,0.400000
OBS-00014,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,10,6,join_prune,18,3,15,15,0.166667
OBS-00014,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,10,7,join_prune,1,0,1,1,0.000000
OBS-00015,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,5,1,singleton_scan,119,0,119,18,0.000000
OBS-00015,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,5,2,join_prune,153,0,153,67,0.000000
OBS-00015,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,5,3,join_prune,175,60,115,110,0.342857
OBS-00015,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,5,4,join_prune,139,43,96,91,0.309353
OBS-00015,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,5,5,join_prune,49,12,37,37,0.244898
OBS-00015,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,5,6,join_prune,6,0,6,6,0.000000
OBS-00016,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,1,1,singleton_scan,119,0,119,24,0.000000
